TransactionID,Date,Description,CategoryID,CategoryName,Type,Amount,PaymentMethod,Notes
214,2024-03-07,Fast food,5,Dining Out,Expense,12.36,Cash,Planned
64,2024-03-08,Pharmacy,7,Healthcare,Expense,36.33,Credit Card,
215,2024-03-08,Supermarket,2,Groceries,Expense,78.87,Credit Card,Optional
293,2024-03-09,Clothing,8,Shopping,Expense,118.23,Debit Card,Planned
295,2024-03-10,Restaurant,5,Dining Out,Expense,45.97,Bank Transfer,
270,2024-03-11,Cinema tickets,6,Entertainment,Expense,33.52,Cash,Optional
277,2024-03-11,Tax refund,14,Other Income,Income,382.09,Bank Transfer,
317,2024-03-12,Cinema tickets,6,Entertainment,Expense,36.02,Cash,
235,2024-03-14,Pizza,5,Dining Out,Expense,28.71,Cash,
346,2024-03-14,Clothing,8,Shopping,Expense,121.23,Bank Transfer,Optional
265,2024-03-17,Tax refund,14,Other Income,Income,383.26,Credit Card,
255,2024-03-18,Electronics,8,Shopping,Expense,191.37,Bank Transfer,Planned
253,2024-03-19,Cash gift,14,Other Income,Income,96.77,Bank Transfer,Recurring
272,2024-03-19,Online course,9,Education,Expense,48.4,Credit Card,Planned
327,2024-03-19,Cash gift,14,Other Income,Income,101.59,Debit Card,Optional
65,2024-03-21,Pharmacy,7,Healthcare,Expense,36.17,Debit Card,Optional
238,2024-03-21,Restaurant,5,Dining Out,Expense,45.78,Debit Card,Recurring
71,2024-03-23,Gym membership,7,Healthcare,Expense,49.71,Bank Transfer,Optional
147,2024-03-29,Netflix,6,Entertainment,Expense,14.48,Bank Transfer,Recurring
196,2024-03-30,Online course,9,Education,Expense,48.16,Debit Card,Optional
13,2024-04-01,Internet subscription,3,Utilities,Expense,57.67,Bank Transfer,
14,2024-04-01,Mortgage installment,1,Housing,Expense,1173.36,Credit Card,
15,2024-04-01,Transfer to savings,10,Savings,Transfer,493.51,Bank Transfer,
16,2024-04-01,Monthly salary,11,Salary,Income,5054.57,Bank Transfer,
269,2024-04-02,Doctor visit,7,Healthcare,Expense,78.73,Bank Transfer,
112,2024-04-03,Freelance project,12,Freelance,Income,780.81,Debit Card,
163,2024-04-06,Farmers market,2,Groceries,Expense,39.45,Bank Transfer,Planned
173,2024-04-06,Home goods,8,Shopping,Expense,73.04,Bank Transfer,
50,2024-04-07,Gaming,6,Entertainment,Expense,38.56,Credit Card,
85,2024-04-07,Tax refund,14,Other Income,Income,381.78,Bank Transfer,
275,2024-04-09,Consulting fee,12,Freelance,Income,610.7,Bank Transfer,Recurring
343,2024-04-09,Stock sale profit,13,Investment,Income,301.6,Cash,Recurring
325,2024-04-10,Gym membership,7,Healthcare,Expense,52.28,Debit Card,
116,2024-04-12,Netflix,6,Entertainment,Expense,15.18,Credit Card,
313,2024-04-12,Freelance project,12,Freelance,Income,770.86,Cash,Recurring
296,2024-04-13,Doctor visit,7,Healthcare,Expense,82.33,Cash,
332,2024-04-14,Consulting fee,12,Freelance,Income,606.4,Debit Card,Planned
146,2024-04-16,Bus pass,4,Transport,Expense,48.82,Cash,
91,2024-04-17,Pharmacy,7,Healthcare,Expense,36.0,Debit Card,Recurring
231,2024-04-18,Dividend income,13,Investment,Income,152.35,Credit Card,
224,2024-04-20,Stock sale profit,13,Investment,Income,298.55,Credit Card,Recurring
236,2024-04-20,Stock sale profit,13,Investment,Income,297.59,Debit Card,
208,2024-04-21,Electronics,8,Shopping,Expense,198.89,Credit Card,
97,2024-04-22,Online course,9,Education,Expense,51.52,Bank Transfer,
250,2024-04-23,Electronics,8,Shopping,Expense,205.58,Cash,Optional
94,2024-04-25,Doctor visit,7,Healthcare,Expense,77.18,Cash,
80,2024-04-26,Doctor visit,7,Healthcare,Expense,76.19,Credit Card,Recurring
104,2024-04-28,Pizza,5,Dining Out,Expense,30.58,Credit Card,
135,2024-04-28,Doctor visit,7,Healthcare,Expense,81.77,Debit Card,
213,2024-04-29,Concert,6,Entertainment,Expense,61.65,Cash,
252,2024-04-30,Restaurant,5,Dining Out,Expense,43.41,Credit Card,
281,2024-04-30,Electronics,8,Shopping,Expense,209.89,Debit Card,
17,2024-05-01,Water bill,3,Utilities,Expense,44.83,Direct Debit,
18,2024-05-01,Mortgage installment,1,Housing,Expense,1241.14,Bank Transfer,
19,2024-05-01,Transfer to savings,10,Savings,Transfer,515.25,Direct Debit,
20,2024-05-01,Monthly salary,11,Salary,Income,4855.49,Credit Card,
286,2024-05-01,Pharmacy,7,Healthcare,Expense,33.68,Credit Card,Recurring
101,2024-05-06,Gym membership,7,Healthcare,Expense,48.89,Bank Transfer,Planned
335,2024-05-06,Freelance project,12,Freelance,Income,767.74,Debit Card,Recurring
51,2024-05-07,Freelance project,12,Freelance,Income,795.45,Cash,
98,2024-05-07,Dividend income,13,Investment,Income,149.35,Bank Transfer,Planned
114,2024-05-09,Online course,9,Education,Expense,49.85,Cash,
285,2024-05-11,Supermarket,2,Groceries,Expense,82.68,Bank Transfer,
78,2024-05-16,Cinema tickets,6,Entertainment,Expense,36.01,Cash,Recurring
151,2024-05-16,Cafe,5,Dining Out,Expense,17.23,Credit Card,
197,2024-05-19,Dividend income,13,Investment,Income,146.35,Bank Transfer,
234,2024-05-19,Fast food,5,Dining Out,Expense,12.51,Debit Card,
299,2024-05-19,Clothing,8,Shopping,Expense,123.59,Bank Transfer,Recurring
102,2024-05-20,Gaming,6,Entertainment,Expense,38.31,Debit Card,
191,2024-05-20,Online course,9,Education,Expense,50.33,Cash,Optional
222,2024-05-20,Fast food,5,Dining Out,Expense,11.86,Debit Card,Recurring
256,2024-05-20,Gym membership,7,Healthcare,Expense,47.78,Cash,
305,2024-05-20,Online course,9,Education,Expense,47.88,Bank Transfer,
70,2024-05-21,Online course,9,Education,Expense,47.52,Credit Card,Planned
210,2024-05-21,Online course,9,Education,Expense,52.34,Bank Transfer,
81,2024-05-22,Clothing,8,Shopping,Expense,125.6,Debit Card,
340,2024-05-24,Grocery Store,2,Groceries,Expense,60.59,Bank Transfer,
93,2024-05-25,Taxi ride,4,Transport,Expense,23.98,Credit Card,Planned
274,2024-05-25,Tax refund,14,Other Income,Income,389.36,Credit Card,
192,2024-05-26,Freelance project,12,Freelance,Income,808.57,Debit Card,
230,2024-05-27,Farmers market,2,Groceries,Expense,39.25,Cash,Optional
330,2024-05-28,Stock sale profit,13,Investment,Income,299.49,Bank Transfer,
183,2024-05-30,Grocery Store,2,Groceries,Expense,59.25,Credit Card,
56,2024-05-31,Cinema tickets,6,Entertainment,Expense,36.64,Cash,Planned
21,2024-06-01,Water bill,3,Utilities,Expense,45.7,Direct Debit,
22,2024-06-01,Rent payment,1,Housing,Expense,1415.91,Bank Transfer,
23,2024-06-01,Transfer to savings,10,Savings,Transfer,519.89,Direct Debit,
24,2024-06-01,Monthly salary,11,Salary,Income,5248.66,Bank Transfer,
145,2024-06-01,Consulting fee,12,Freelance,Income,588.32,Cash,Optional
171,2024-06-01,Gym membership,7,Healthcare,Expense,50.4,Bank Transfer,
188,2024-06-02,Tax refund,14,Other Income,Income,407.61,Bank Transfer,
242,2024-06-03,Cinema tickets,6,Entertainment,Expense,35.94,Debit Card,
74,2024-06-06,Grocery Store,2,Groceries,Expense,62.39,Cash,
267,2024-06-07,Parking fee,4,Transport,Expense,15.22,Debit Card,
166,2024-06-08,Restaurant,5,Dining Out,Expense,45.24,Cash,
237,2024-06-08,Home goods,8,Shopping,Expense,73.68,Cash,
226,2024-06-09,Books,9,Education,Expense,24.69,Credit Card,Planned
337,2024-06-09,Cash gift,14,Other Income,Income,102.63,Bank Transfer,Optional
282,2024-06-12,Supermarket,2,Groceries,Expense,82.71,Debit Card,
324,2024-06-14,Cafe,5,Dining Out,Expense,17.72,Debit Card,
113,2024-06-16,Consulting fee,12,Freelance,Income,615.67,Bank Transfer,
303,2024-06-16,Taxi ride,4,Transport,Expense,24.52,Bank Transfer,
134,2024-06-18,Stock sale profit,13,Investment,Income,306.09,Debit Card,
159,2024-06-19,Books,9,Education,Expense,25.43,Credit Card,
103,2024-06-20,Pharmacy,7,Healthcare,Expense,36.38,Cash,
263,2024-06-22,Online course,9,Education,Expense,51.45,Debit Card,
141,2024-06-23,Freelance project,12,Freelance,Income,837.24,Debit Card,Recurring
240,2024-06-25,Parking fee,4,Transport,Expense,14.42,Bank Transfer,Optional
333,2024-06-25,Electronics,8,Shopping,Expense,192.62,Debit Card,Optional
280,2024-06-27,Freelance project,12,Freelance,Income,793.19,Bank Transfer,Optional
304,2024-06-28,Consulting fee,12,Freelance,Income,572.54,Debit Card,Optional
25,2024-07-01,Electricity bill,3,Utilities,Expense,92.3,Bank Transfer,
26,2024-07-01,Rent payment,1,Housing,Expense,1492.35,Direct Debit,
27,2024-07-01,Transfer to savings,10,Savings,Transfer,494.08,Direct Debit,
28,2024-07-01,Monthly salary,11,Salary,Income,5090.14,Bank Transfer,
292,2024-07-01,Supermarket,2,Groceries,Expense,78.76,Cash,Optional
138,2024-07-03,Cinema tickets,6,Entertainment,Expense,34.31,Credit Card,
195,2024-07-05,Cash gift,14,Other Income,Income,95.9,Debit Card,
118,2024-07-07,Doctor visit,7,Healthcare,Expense,80.85,Cash,
133,2024-07-07,Tax refund,14,Other Income,Income,402.14,Debit Card,Recurring
301,2024-07-07,Consulting fee,12,Freelance,Income,618.07,Bank Transfer,
73,2024-07-08,Farmers market,2,Groceries,Expense,40.21,Bank Transfer,
206,2024-07-08,Consulting fee,12,Freelance,Income,605.24,Credit Card,Recurring
228,2024-07-09,Bus pass,4,Transport,Expense,50.28,Debit Card,Planned
54,2024-07-13,Restaurant,5,Dining Out,Expense,47.18,Debit Card,Recurring
179,2024-07-13,Stock sale profit,13,Investment,Income,303.8,Bank Transfer,Optional
244,2024-07-13,Cafe,5,Dining Out,Expense,18.0,Debit Card,
276,2024-07-14,Gym membership,7,Healthcare,Expense,50.14,Credit Card,
189,2024-07-15,Gaming,6,Entertainment,Expense,38.43,Bank Transfer,Optional
350,2024-07-15,  Duplicate item,5,Dining Out,Expense,25.0,Cash,
351,2024-07-15,  Duplicate item,5,Dining Out,Expense,25.0,Cash,
300,2024-07-16,Consulting fee,12,Freelance,Income,628.42,Bank Transfer,Planned
345,2024-07-20,Taxi ride,4,Transport,Expense,25.74,Debit Card,Optional
120,2024-07-22,Online course,9,Education,Expense,47.88,Credit Card,
82,2024-07-23,Stock sale profit,13,Investment,Income,313.18,Cash,
220,2024-07-24,Consulting fee,12,Freelance,Income,611.17,Bank Transfer,Planned
59,2024-07-25,Netflix,6,Entertainment,Expense,15.66,Credit Card,Optional
342,2024-07-25,Electronics,8,Shopping,Expense,190.9,Cash,Optional
247,2024-07-26,Fuel,4,Transport,Expense,73.26,Credit Card,Optional
105,2024-07-27,Books,9,Education,Expense,25.11,Bank Transfer,
320,2024-07-28,Online course,9,Education,Expense,48.13,Debit Card,Planned
184,2024-07-29,Dividend income,13,Investment,Income,145.05,Cash,Optional
229,2024-07-29,Taxi ride,4,Transport,Expense,25.93,Bank Transfer,Planned
77,2024-07-30,Restaurant,5,Dining Out,Expense,43.56,Debit Card,Recurring
170,2024-07-31,Pharmacy,7,Healthcare,Expense,36.52,Debit Card,
29,2024-08-01,Internet subscription,3,Utilities,Expense,52.86,Direct Debit,
30,2024-08-01,Mortgage installment,1,Housing,Expense,1140.39,Credit Card,
31,2024-08-01,Transfer to savings,10,Savings,Transfer,500.38,Bank Transfer,
32,2024-08-01,Monthly salary,11,Salary,Income,4826.42,Bank Transfer,
144,2024-08-01,Dividend income,13,Investment,Income,154.14,Bank Transfer,Recurring
336,2024-08-02,Cash gift,14,Other Income,Income,104.63,Credit Card,
106,2024-08-03,Gaming,6,Entertainment,Expense,41.62,Cash,Optional
55,2024-08-04,Gym membership,7,Healthcare,Expense,52.29,Bank Transfer,
100,2024-08-06,Stock sale profit,13,Investment,Income,311.92,Bank Transfer,Recurring
122,2024-08-07,Stock sale profit,13,Investment,Income,287.07,Debit Card,
233,2024-08-07,Netflix,6,Entertainment,Expense,15.16,Debit Card,
246,2024-08-07,Tax refund,14,Other Income,Income,408.38,Bank Transfer,
181,2024-08-10,Fuel,4,Transport,Expense,71.82,Cash,Recurring
84,2024-08-11,Home goods,8,Shopping,Expense,78.63,Cash,Recurring
92,2024-08-14,Freelance project,12,Freelance,Income,800.89,Credit Card,Planned
309,2024-08-15,Clothing,8,Shopping,Expense,120.89,Debit Card,Recurring
321,2024-08-18,Parking fee,4,Transport,Expense,15.27,Debit Card,
344,2024-08-18,Stock sale profit,13,Investment,Income,309.76,Cash,
257,2024-08-19,Freelance project,12,Freelance,Income,764.55,Debit Card,
161,2024-08-20,Supermarket,2,Groceries,Expense,78.52,Debit Card,
225,2024-08-20,Electronics,8,Shopping,Expense,198.32,Cash,
169,2024-08-21,Cinema tickets,6,Entertainment,Expense,34.59,Credit Card,
348,2024-08-21,Dividend income,13,Investment,Income,151.59,Credit Card,
62,2024-08-22,Pharmacy,7,Healthcare,Expense,36.5,Cash,
287,2024-08-22,Cash gift,14,Other Income,Income,96.11,Bank Transfer,Optional
339,2024-08-22,Dividend income,13,Investment,Income,145.73,Debit Card,
167,2024-08-24,Fuel,4,Transport,Expense,71.03,Credit Card,Recurring
110,2024-08-27,Cafe,5,Dining Out,Expense,18.87,Cash,Recurring
79,2024-08-28,Supermarket,2,Groceries,Expense,77.6,Bank Transfer,
148,2024-08-28,Tax refund,14,Other Income,Income,381.31,Debit Card,Planned
33,2024-09-01,Internet subscription,3,Utilities,Expense,54.94,Bank Transfer,
34,2024-09-01,Mortgage installment,1,Housing,Expense,1168.73,Bank Transfer,
35,2024-09-01,Transfer to savings,10,Savings,Transfer,511.6,Bank Transfer,
36,2024-09-01,Monthly salary,11,Salary,Income,5079.88,Credit Card,
107,2024-09-01,Online course,9,Education,Expense,52.21,Debit Card,Recurring
125,2024-09-04,Stock sale profit,13,Investment,Income,298.07,Debit Card,
53,2024-09-05,Books,9,Education,Expense,24.28,Bank Transfer,
239,2024-09-05,Books,9,Education,Expense,24.79,Credit Card,Optional
128,2024-09-06,Cafe,5,Dining Out,Expense,17.74,Debit Card,
123,2024-09-07,Online course,9,Education,Expense,49.67,Debit Card,Planned
207,2024-09-07,Parking fee,4,Transport,Expense,15.66,Debit Card,
96,2024-09-10,Books,9,Education,Expense,24.36,Cash,
175,2024-09-10,Restaurant,5,Dining Out,Expense,43.32,Debit Card,
311,2024-09-12,Pizza,5,Dining Out,Expense,31.24,Cash,
338,2024-09-12,Consulting fee,12,Freelance,Income,599.84,Cash,Recurring
69,2024-09-15,Pharmacy,7,Healthcare,Expense,34.13,Cash,
261,2024-09-15,Bus pass,4,Transport,Expense,47.7,Bank Transfer,Recurring
88,2024-09-16,Pharmacy,7,Healthcare,Expense,35.58,Debit Card,Recurring
168,2024-09-17,Gym membership,7,Healthcare,Expense,48.87,Bank Transfer,Recurring
218,2024-09-19,Home goods,8,Shopping,Expense,72.07,Credit Card,Optional
279,2024-09-19,Freelance project,12,Freelance,Income,826.48,Cash,
162,2024-09-20,Online course,9,Education,Expense,50.79,Bank Transfer,Recurring
297,2024-09-20,Pharmacy,7,Healthcare,Expense,36.71,Bank Transfer,
262,2024-09-24,Dividend income,13,Investment,Income,147.96,Debit Card,Recurring
137,2024-09-25,Tax refund,14,Other Income,Income,419.22,Credit Card,
290,2024-09-25,Taxi ride,4,Transport,Expense,23.92,Cash,Recurring
217,2024-09-26,Online course,9,Education,Expense,51.23,Bank Transfer,Recurring
271,2024-09-26,Dividend income,13,Investment,Income,152.43,Credit Card,Optional
251,2024-09-28,Bus pass,4,Transport,Expense,52.03,Debit Card,
37,2024-10-01,Internet subscription,3,Utilities,Expense,55.15,Credit Card,
38,2024-10-01,Rent payment,1,Housing,Expense,1512.19,Credit Card,
39,2024-10-01,Transfer to savings,10,Savings,Transfer,494.95,Credit Card,
40,2024-10-01,Bonus,11,Salary,Income,1039.96,Direct Debit,
200,2024-10-01,Doctor visit,7,Healthcare,Expense,79.64,Debit Card,Optional
86,2024-10-02,Dividend income,13,Investment,Income,147.96,Cash,Planned
108,2024-10-02,Online course,9,Education,Expense,49.94,Debit Card,Recurring
172,2024-10-02,Consulting fee,12,Freelance,Income,590.71,Bank Transfer,Recurring
89,2024-10-10,Doctor visit,7,Healthcare,Expense,77.53,Bank Transfer,Planned
232,2024-10-11,Electronics,8,Shopping,Expense,192.3,Debit Card,Optional
199,2024-10-12,Books,9,Education,Expense,23.98,Bank Transfer,
99,2024-10-13,Stock sale profit,13,Investment,Income,313.5,Bank Transfer,Optional
111,2024-10-15,Cash gift,14,Other Income,Income,95.84,Bank Transfer,
143,2024-10-15,Fast food,5,Dining Out,Expense,11.5,Credit Card,
212,2024-10-16,Cafe,5,Dining Out,Expense,17.22,Credit Card,Optional
308,2024-10-17,Online course,9,Education,Expense,50.53,Bank Transfer,
152,2024-10-18,Tax refund,14,Other Income,Income,397.57,Bank Transfer,Planned
329,2024-10-19,Gaming,6,Entertainment,Expense,40.47,Cash,Recurring
318,2024-10-20,Stock sale profit,13,Investment,Income,299.02,Credit Card,Optional
190,2024-10-21,Electronics,8,Shopping,Expense,209.85,Debit Card,
156,2024-10-22,Doctor visit,7,Healthcare,Expense,82.1,Credit Card,Recurring
254,2024-10-23,Tax refund,14,Other Income,Income,407.25,Debit Card,Planned
83,2024-10-24,Fast food,5,Dining Out,Expense,11.45,Bank Transfer,
249,2024-10-28,Books,9,Education,Expense,25.06,Bank Transfer,
41,2024-11-01,Water bill,3,Utilities,Expense,43.76,Direct Debit,
42,2024-11-01,Rent payment,1,Housing,Expense,1462.82,Bank Transfer,
43,2024-11-01,Transfer to savings,10,Savings,Transfer,486.45,Bank Transfer,
44,2024-11-01,Monthly salary,11,Salary,Income,5007.08,Direct Debit,
129,2024-11-01,Gym membership,7,Healthcare,Expense,51.9,Cash,Optional
154,2024-11-02,Fuel,4,Transport,Expense,72.73,Debit Card,Optional
302,2024-11-04,Online course,9,Education,Expense,50.23,Debit Card,
68,2024-11-05,Doctor visit,7,Healthcare,Expense,81.74,Credit Card,Planned
223,2024-11-05,Stock sale profit,13,Investment,Income,287.98,Cash,Planned
95,2024-11-08,Freelance project,12,Freelance,Income,796.43,Credit Card,Planned
127,2024-11-08,Tax refund,14,Other Income,Income,393.46,Bank Transfer,
258,2024-11-10,Parking fee,4,Transport,Expense,14.94,Cash,Recurring
289,2024-11-10,Grocery Store,2,Groceries,Expense,58.44,Bank Transfer,
326,2024-11-10,Gym membership,7,Healthcare,Expense,47.97,Credit Card,Optional
90,2024-11-11,Fast food,5,Dining Out,Expense,11.89,Cash,
180,2024-11-12,Supermarket,2,Groceries,Expense,77.88,Debit Card,
76,2024-11-13,Online course,9,Education,Expense,52.13,Credit Card,
185,2024-11-13,Online course,9,Education,Expense,49.99,Credit Card,
193,2024-11-13,Concert,6,Entertainment,Expense,61.07,Credit Card,Planned
202,2024-11-13,Farmers market,2,Groceries,Expense,39.31,Credit Card,Planned
63,2024-11-14,Freelance project,12,Freelance,Income,765.86,Credit Card,Optional
87,2024-11-15,Electronics,8,Shopping,Expense,203.27,Cash,Planned
194,2024-11-17,Fuel,4,Transport,Expense,68.66,Bank Transfer,
158,2024-11-21,Books,9,Education,Expense,26.17,Bank Transfer,
203,2024-11-21,Parking fee,4,Transport,Expense,15.61,Debit Card,Planned
186,2024-11-22,Consulting fee,12,Freelance,Income,597.57,Cash,Recurring
201,2024-11-22,Books,9,Education,Expense,24.02,Credit Card,Recurring
352,2024-11-22,Missing category,,,,75.5,Debit Card,
322,2024-11-23,Dividend income,13,Investment,Income,154.02,Credit Card,Recurring
211,2024-11-24,Netflix,6,Entertainment,Expense,14.33,Debit Card,
298,2024-11-27,Supermarket,2,Groceries,Expense,78.29,Cash,Planned
115,2024-11-28,Netflix,6,Entertainment,Expense,15.42,Cash,
310,2024-11-28,Electronics,8,Shopping,Expense,194.99,Cash,
157,2024-11-29,Stock sale profit,13,Investment,Income,312.48,Credit Card,Optional
259,2024-11-29,Cash gift,14,Other Income,Income,98.22,Bank Transfer,Optional
45,2024-12-01,Water bill,3,Utilities,Expense,45.18,Credit Card,
46,2024-12-01,Rent payment,1,Housing,Expense,1491.27,Direct Debit,
47,2024-12-01,Transfer to savings,10,Savings,Transfer,479.85,Direct Debit,
48,2024-12-01,Bonus,11,Salary,Income,991.11,Credit Card,
266,2024-12-01,Gym membership,7,Healthcare,Expense,50.81,Credit Card,Optional
219,2024-12-03,Farmers market,2,Groceries,Expense,39.21,Cash,
150,2024-12-04,Cash gift,14,Other Income,Income,99.25,Credit Card,Planned
61,2024-12-08,Concert,6,Entertainment,Expense,58.43,Bank Transfer,
117,2024-12-08,Freelance project,12,Freelance,Income,805.12,Credit Card,Recurring
187,2024-12-12,Gym membership,7,Healthcare,Expense,48.29,Bank Transfer,
306,2024-12-13,Dividend income,13,Investment,Income,156.79,Credit Card,Optional
75,2024-12-15,Cinema tickets,6,Entertainment,Expense,35.58,Debit Card,Optional
121,2024-12-16,Gym membership,7,Healthcare,Expense,51.53,Cash,
294,2024-12-16,Pizza,5,Dining Out,Expense,31.44,Bank Transfer,Planned
209,2024-12-17,Taxi ride,4,Transport,Expense,25.11,Debit Card,
131,2024-12-19,Gaming,6,Entertainment,Expense,40.58,Bank Transfer,Recurring
136,2024-12-19,Dividend income,13,Investment,Income,145.37,Bank Transfer,
248,2024-12-19,Consulting fee,12,Freelance,Income,575.29,Cash,
178,2024-12-20,Tax refund,14,Other Income,Income,405.99,Debit Card,Planned
160,2024-12-21,Books,9,Education,Expense,24.47,Bank Transfer,Optional
182,2024-12-21,Fast food,5,Dining Out,Expense,12.48,Cash,
165,2024-12-23,Consulting fee,12,Freelance,Income,577.29,Credit Card,Planned
153,2024-12-24,Pharmacy,7,Healthcare,Expense,36.55,Bank Transfer,Recurring
149,2024-12-25,Pharmacy,7,Healthcare,Expense,33.5,Credit Card,
312,2024-12-26,Pharmacy,7,Healthcare,Expense,34.0,Debit Card,Planned
284,2024-12-27,Pizza,5,Dining Out,Expense,29.85,Cash,
124,2024-12-28,Freelance project,12,Freelance,Income,794.84,Debit Card,Optional
315,2024-12-29,Clothing,8,Shopping,Expense,120.6,Debit Card,
316,2024-12-30,Cafe,5,Dining Out,Expense,18.53,Credit Card,
314,2024-12-31,Pizza,5,Dining Out,Expense,31.49,Debit Card,Planned
349,N/A,Unknown charge,,Unknown,,-50,Credit Card,needs review
